Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-17;Hombre;Chamberí;Entre 36 y 45 años;Extracomunitaria;5120;Camareros asalariados;;;;
ene-17;Mujer;Tetuán;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5812;Especialistas en tratamientos de estética, bienestar y afines;5811;Peluqueros
ene-17;Hombre;San Blas;Menor de 25 años;Española;5120;Camareros asalariados;9420;Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Usera;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);9100;Empleados domésticos;9820;Reponedores
ene-17;Mujer;Villa De Vallecas;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9700;Peones de las industrias manufactureras;;
ene-17;Hombre;Moncloa-aravaca;Entre 56 y 65 años;Comunitaria;5893;Cuidadores de animales y adiestradores;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;5833;Conserjes de edificios
ene-17;Hombre;Ciudad Lineal;Entre 36 y 45 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;7835;Tapiceros, colchoneros y afines;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Puente De Vallecas;Entre 26 y 35 años;Española;3713;Profesionales de apoyo al trabajo y a la educación social;3724;Monitores de actividades recreativas y de entretenimiento;4412;Recepcionistas (excepto de hoteles)
ene-17;Mujer;Latina;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5891;Asistentes personales o personas de compañía
ene-17;Mujer;Ciudad Lineal;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados;9100;Empleados domésticos
ene-17;Mujer;Arganzuela;Entre 56 y 65 años;Española;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
ene-17;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;3510;Agentes y representantes comerciales;5420;Operadores de telemarketing;3510;Agentes y representantes comerciales
ene-17;Hombre;Villaverde;Entre 36 y 45 años;Extracomunitaria;8333;Operadores de carretillas elevadoras;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Villa De Vallecas;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4424;Teleoperadores
ene-17;Mujer;Arganzuela;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;4123;Empleados de logística y transporte de pasajeros y mercancías;4412;Recepcionistas (excepto de hoteles)
ene-17;Hombre;Ciudad Lineal;Entre 36 y 45 años;Española;3811;Técnicos en operaciones de sistemas informáticos;7315;Montadores de estructuras cableadas y empalmadores de cables;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-17;Mujer;Carabanchel;Entre 36 y 45 años;Extracomunitaria;5420;Operadores de telemarketing;5220;Vendedores en tiendas y almacenes;4412;Recepcionistas (excepto de hoteles)
ene-17;Mujer;Otro Municipio;Entre 46 y 55 años;Española;2810;Economistas;3613;Asistentes de dirección y administrativos;4113;Empleados de oficina de servicios estadísticos, financieros y bancarios
ene-17;Hombre;Arganzuela;Entre 56 y 65 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5833;Conserjes de edificios;9820;Reponedores
ene-17;Hombre;Otro Municipio;Entre 46 y 55 años;Española;2469;Ingenieros técnicos no clasificados bajo otros epígrafes;2465;Ingenieros técnicos químicos;;
ene-17;Hombre;Usera;Menor de 25 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9820;Reponedores;9433;Repartidores, recadistas y mensajeros a pie
ene-17;Hombre;San Blas;Entre 46 y 55 años;Española;5833;Conserjes de edificios;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Chamberí;Entre 46 y 55 años;Española;4423;Telefonistas;4411;Empleados de información al usuario;4412;Recepcionistas (excepto de hoteles)
ene-17;Hombre;Puente De Vallecas;Entre 26 y 35 años;Comunitaria;9442;Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra;9310;Ayudantes de cocina;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;;
ene-17;Mujer;Villaverde;Entre 26 y 35 años;Extracomunitaria;5811;Peluqueros;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Usera;Menor de 25 años;Extracomunitaria;5120;Camareros asalariados;;;;
ene-17;Hombre;Centro;Entre 56 y 65 años;Española;9310;Ayudantes de cocina;9310;Ayudantes de cocina;;
ene-17;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;9100;Empleados domésticos
ene-17;Mujer;Usera;Entre 46 y 55 años;Española;;;;;;
ene-17;Mujer;Otro Municipio;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5420;Operadores de telemarketing;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-17;Hombre;Carabanchel;Entre 46 y 55 años;Española;5110;Cocineros asalariados;5110;Cocineros asalariados;9310;Ayudantes de cocina
ene-17;Hombre;Usera;Entre 56 y 65 años;Española;5894;Instructores de autoescuela;2482;Diseñadores de productos y de prendas;;
ene-17;Hombre;Otro Municipio;Entre 36 y 45 años;Española;3522;Agentes de compras;5210;Jefes de sección de tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;4221;Empleados de servicios de correos (excepto empleados de mostrador);9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9431;Ordenanzas
ene-17;Mujer;Moratalaz;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5611;Auxiliares de enfermería hospitalaria;5812;Especialistas en tratamientos de estética, bienestar y afines
ene-17;Mujer;Carabanchel;Entre 56 y 65 años;Extracomunitaria;5812;Especialistas en tratamientos de estética, bienestar y afines;1324;Directores de servicios sociales para personas mayores;9100;Empleados domésticos
ene-17;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;7510;Electricistas de la construcción y afines;7191;Mantenedores de edificios;;
ene-17;Hombre;Latina;Entre 36 y 45 años;Española;5110;Cocineros asalariados;3327;Ayudantes de veterinaria;5110;Cocineros asalariados
ene-17;Hombre;Otro Municipio;Entre 56 y 65 años;Española;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2425;Ingenieros técnicos forestales y del medio natural;;
ene-17;Mujer;Villaverde;Entre 46 y 55 años;Comunitaria;7703;Panaderos, pasteleros y confiteros;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
ene-17;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;2624;Especialistas en políticas y servicios de personal y afines;2484;Diseñadores gráficos y multimedia;3622;Profesionales de apoyo de la Administración Pública de servicios sociales
ene-17;Mujer;Villaverde;Menor de 25 años;Extracomunitaria;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;;;
ene-17;Hombre;Carabanchel;Entre 26 y 35 años;Española;8333;Operadores de carretillas elevadoras;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9820;Reponedores
ene-17;Mujer;Villa De Vallecas;Entre 26 y 35 años;Española;3613;Asistentes de dirección y administrativos;4424;Teleoperadores;4412;Recepcionistas (excepto de hoteles)
ene-17;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;2723;Analistas de redes informáticas;2711;Analistas de sistemas;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-17;Mujer;Usera;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5721;Cuidadores de niños en guarderías y centros educativos;;
ene-17;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;5833;Conserjes de edificios;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;9820;Reponedores
ene-17;Hombre;Ciudad Lineal;Entre 46 y 55 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;7191;Mantenedores de edificios;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines
ene-17;Mujer;Salamanca;Entre 36 y 45 años;Española;2651;Profesionales de la publicidad y la comercialización;2923;Filólogos, intérpretes y traductores;3613;Asistentes de dirección y administrativos
ene-17;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;2824;Profesionales del trabajo y la educación social;2624;Especialistas en políticas y servicios de personal y afines;3613;Asistentes de dirección y administrativos
ene-17;Hombre;Ciudad Lineal;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9310;Ayudantes de cocina
ene-17;Mujer;Tetuán;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Vicálvaro;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;;
ene-17;Hombre;Moncloa-aravaca;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;9443;Barrenderos y afines;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-17;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;3724;Monitores de actividades recreativas y de entretenimiento;9811;Peones del transporte de mercancías y descargadores;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-17;Hombre;Villaverde;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Mujer;Carabanchel;Entre 46 y 55 años;Española;4412;Recepcionistas (excepto de hoteles);3339;Otros profesionales de las terapias alternativas;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-17;Hombre;Salamanca;Entre 36 y 45 años;Española;9431;Ordenanzas;4411;Empleados de información al usuario;3622;Profesionales de apoyo de la Administración Pública de servicios sociales
ene-17;Mujer;Carabanchel;Entre 46 y 55 años;Española;3326;Técnicos en prevención de riesgos laborales y salud ambiental;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-17;Hombre;Puente De Vallecas;Menor de 25 años;Española;5611;Auxiliares de enfermería hospitalaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio
